configuration,architecture,activation,learning_rate,epochs_completed,final_training_loss,best_validation_accuracy,test_accuracy,weighted_precision,weighted_recall,weighted_f1_score
LR 0.1,4-8-6-3,sigmoid,0.1,550,0.04251842052499497,0.9090909090909091,1.0,1.0,1.0,1.0
Shallow 4-8-3,4-8-3,tanh,0.01,900,0.057910295449412924,0.9090909090909091,0.9565217391304348,0.9613526570048309,0.9565217391304348,0.9563512361466325
Required 4-8-6-3,4-8-6-3,tanh,0.01,600,0.0498642493704512,0.9090909090909091,0.8695652173913043,0.873015873015873,0.8695652173913043,0.8690537084398977
Activation ReLU,4-8-6-3,relu,0.01,550,0.050840627738897616,0.9090909090909091,0.8695652173913043,0.873015873015873,0.8695652173913043,0.8690537084398977
Activation Tanh,4-8-6-3,tanh,0.01,600,0.0498642493704512,0.9090909090909091,0.8695652173913043,0.873015873015873,0.8695652173913043,0.8690537084398977
Deeper 4-12-8-6-3,4-12-8-6-3,tanh,0.01,500,0.04433169258498681,0.9090909090909091,0.8695652173913043,0.9051383399209487,0.8695652173913043,0.8648125330047527
Activation Sigmoid,4-8-6-3,sigmoid,0.01,900,0.4088092163403208,0.8181818181818182,0.6956521739130435,0.8128881987577639,0.6956521739130435,0.6143170838823012
LR 0.01,4-8-6-3,sigmoid,0.01,900,0.4088092163403208,0.8181818181818182,0.6956521739130435,0.8128881987577639,0.6956521739130435,0.6143170838823012
LR 0.001,4-8-6-3,sigmoid,0.001,650,1.0929601081062852,0.36363636363636365,0.30434782608695654,0.09262759924385634,0.30434782608695654,0.14202898550724638
